no,Age,Gender,Nationality,Mothertounge,Languages,Education,English,languageknowledge,concept,collapsedconcept,Pair,player,condition1,condition2,trial,winner,te,na,tenasum,so,bu,sobusum
1,26,Male,Spanish,Spanish,4,Master,6,4,verb,nonpoliteness,1,1,competitive,functional,2,no,0,0,0,0,0,0
1,26,Male,Spanish,Spanish,4,Master,6,4,verb,nonpoliteness,1,1,competitive,functional,3,no,0,0,0,0,0,0
1,26,Male,Spanish,Spanish,4,Master,6,4,verb,nonpoliteness,1,1,competitive,functional,4,no,0,0,0,0,0,0
1,26,Male,Spanish,Spanish,4,Master,6,4,verb,nonpoliteness,1,1,competitive,functional,5,no,0,0,0,0,0,0
1,26,Male,Spanish,Spanish,4,Master,6,4,verb,nonpoliteness,1,1,competitive,functional,6,no,0,0,0,0,0,0
1,26,Male,Spanish,Spanish,4,Master,6,4,verb,nonpoliteness,1,1,competitive,functional,7,no,0,0,0,0,0,0
1,26,Male,Spanish,Spanish,4,Master,6,4,verb,nonpoliteness,1,1,competitive,functional,9,no,0,0,0,0,0,0
1,26,Male,Spanish,Spanish,4,Master,6,4,verb,nonpoliteness,1,1,competitive,functional,10,no,0,0,0,0,0,0
1,26,Male,Spanish,Spanish,4,Master,6,4,verb,nonpoliteness,1,1,competitive,functional,12,no,0,0,0,0,0,0
1,26,Male,Spanish,Spanish,4,Master,6,4,verb,nonpoliteness,1,1,competitive,functional,13,no,0,0,0,0,0,0
1,26,Male,Spanish,Spanish,4,Master,6,4,verb,nonpoliteness,1,1,competitive,functional,14,no,0,0,0,0,0,0
1,26,Male,Spanish,Spanish,4,Master,6,4,verb,nonpoliteness,1,1,competitive,functional,15,no,0,0,0,0,0,0
1,26,Male,Spanish,Spanish,4,Master,6,4,verb,nonpoliteness,1,1,competitive,functional,16,no,0,0,0,0,0,0
1,26,Male,Spanish,Spanish,4,Master,6,4,verb,nonpoliteness,1,1,competitive,functional,17,no,0,0,0,0,0,0
1,26,Male,Spanish,Spanish,4,Master,6,4,verb,nonpoliteness,1,1,competitive,functional,18,no,0,0,0,0,0,0
1,26,Male,Spanish,Spanish,4,Master,6,4,verb,nonpoliteness,1,1,competitive,functional,19,no,0,0,0,0,0,0
1,26,Male,Spanish,Spanish,4,Master,6,4,verb,nonpoliteness,1,1,competitive,functional,20,no,0,0,0,0,0,0
2,30,Female,China,Mandarin,4,Master,6,5,politeness,politeness,2,1,competitive,functional,1,no,0,0,0,0,0,0
